club,home,played,win,draw,loss,goals_for,goals_against
Arsenal,Islington (North London),38,18,7,13,55,39
Aston Villa,Aston (Birmingham),38,16,7,15,55,46
Brighton & Hove Albion,Brighton and Hove,38,9,14,15,40,46
Burnley,Burnley,38,10,9,19,33,55
Chelsea,Fulham (West London),38,19,10,9,58,36
Crystal Palace,Selhurst (South London),38,12,8,18,41,66
Everton,Liverpool,38,17,8,13,47,48
Fulham,Fulham (West London),38,5,13,20,27,53
Leeds United,Leeds United,38,18,5,15,62,54
Leicester City,Leicester,38,20,6,12,68,50
Liverpool,Liverpool,38,20,9,9,68,42
Manchester City,Manchester,38,27,5,6,83,32
Manchester United,Manchester,38,21,11,6,73,44
Newcastle United,Newcastle-upon-Tyne,38,12,9,17,46,62
Sheffield United,Sheffield,38,7,2,29,20,63
Southampton,Southampton,38,12,7,19,47,68
Tottenham Hotspur,Tottenham (London),38,18,8,12,68,45
West Bromwich Albion,West Bromwich,38,5,11,22,35,76
West Ham United,Stratford (East London),38,19,8,11,62,47
Wolverhampton Wanderers,Wolverhampton,38,12,9,17,36,52